purchase_id;purchase_date;product_name;product_id;purchase_quantity;product_price;total_purchase_amount;customer_id;customer_name
21992;2024-05-16;Cement;CM1001;90;50;4500;1001;Keystone Builders Ltd.
29834;2024-03-10;Gravel;CM1003;7;23;161;1007;Quantum Constructions
18881;2023-07-15;Concrete Mix;CM1007;96;57;5472;1014;YellowStone Builders Co.
92590;2024-02-27;Drywall Sheets;CM1010;34;70;2380;1010;Titan Construction Co.
77493;2024-03-27;Conduits;CM1015;26;34;884;1023;Harmony Builders Inc.
66150;2024-03-28;Vinyl Flooring;CM1020;99;22;2178;1017;Bridgeway Builders
65715;2024-04-25;Sand;CM1002;42;25;1050;1031;Pacific Builders Group
46832;2023-12-06;Plywood;CM1005;10;57;570;1029;NorthStar Builders Inc.
65636;2023-07-04;PVC Pipe Fittings;CM1013;72;34;2448;1024;Imperial Constructions
60891;2024-02-03;Paint;CM1023;40;24;960;1012;Vista Construction Group
48205;2023-05-02;Bricks;CM1006;88;35;3080;1040;Alpha Construction Ltd.
61722;2024-01-05;Wood Beams;CM1018;58;76;4408;1021;Frontier Builders LLC
41668;2024-04-29;Caulking;CM1025;22;34;748;1005;OmniBuild Ltd.
52444;2024-05-30;Conduits;CM1015;47;34;1598;1038;Westward Builders Ltd.
37173;2023-08-09;Vinyl Flooring;CM1020;95;22;2090;1033;Renaissance Builders Ltd.
66686;2023-10-29;Sand;CM1002;57;25;1425;1003;Majestic Constructions
66057;2023-06-09;Plywood;CM1005;21;57;1197;1018;Continental Construction
95832;2023-05-28;PVC Pipe Fittings;CM1013;85;34;2890;1015;Zenith Constructions LLC
74613;2024-03-17;Paint;CM1023;42;24;1008;1028;Maverick Constructions
90486;2024-05-02;Bricks;CM1006;35;35;1225;1030;Olympus Construction Co.
17990;2023-05-19;Wood Beams;CM1018;12;76;912;1011;sal Builders Inc.
81294;2023-06-01;Caulking;CM1025;100;34;3400;1022;Galaxy Construction Ltd.
32134;2023-08-30;Tile Adhesive;CM1022;51;76;3876;1019;Dominion Builders Inc.
67461;2023-11-06;Caulking Gun;CM1026;90;12;1080;1034;Summit Construction Co.
34807;2024-01-09;Welding Rods;CM1033;36;12;432;1009;Skyline Builders Ltd.
80720;2023-05-22;Ceramic Tiles;CM1021;60;67;4020;1026;Knight Construction Co.
18705;2023-06-19;Window Frames;CM1035;43;29;1247;1004;Nexus Infrastructure Co.
23315;2023-05-24;Safety Glasses;CM1040;56;4;224;1020;Empire Construction Co.
45005;2023-05-16;Power Drill;CM1045;24;79;1896;1036;Urban Builders LLC
62905;2024-02-27;Saw Blades;CM1048;91;59;5369;1008;RedRock Constructions
42232;2024-03-01;Fence Posts;CM1030;18;14;252;1037;Victory Construction Inc.
95186;2023-09-23;Sealant;CM1037;59;24;1416;1025;Jupiter Builders Group
76130;2024-05-20;Ear Protection;CM1043;84;9;756;1035;Titan Builders Group
37783;2024-05-14;Tile Adhesive;CM1022;63;76;4788;1013;Western Construction Ltd.
77074;2023-10-18;Caulking Gun;CM1026;34;12;408;1027;Landmark Builders Ltd.
80625;2024-02-11;Welding Rods;CM1033;3;12;36;1002;Legacy Construction Inc.
83214;2023-08-30;Ceramic Tiles;CM1021;9;67;603;1006;Pinnacle Builders Group
21201;2024-01-13;Window Frames;CM1035;16;29;464;1032;Quantum Construction Inc.
45786;2023-11-11;Safety Glasses;CM1040;36;4;144;1039;Zenith Builders Group
27462;2023-05-01;Power Drill;CM1045;38;79;3002;1040;Alpha Construction Ltd.
59321;2024-03-06;Saw Blades;CM1048;91;59;5369;1024;Imperial Constructions
97482;2023-08-15;Fence Posts;CM1030;97;14;1358;1012;Vista Construction Group
89783;2024-02-05;Sealant;CM1037;53;24;1272;1040;Alpha Construction Ltd.
52798;2024-03-07;Ear Protection;CM1043;69;9;621;1021;Frontier Builders LLC
19473;2023-07-05;PVC Pipes;CM1012;80;86;6880;1005;OmniBuild Ltd.
82421;2023-11-24;Concrete Sealant;CM1039;22;19;418;1038;Westward Builders Ltd.
67424;2023-08-26;Ladder;CM1044;19;89;1691;1033;Renaissance Builders Ltd.
21074;2023-08-13;Sand;CM1002;49;25;1225;1003;Majestic Constructions
87065;2023-10-05;Concrete Sealant;CM1039;71;19;1349;1018;Continental Construction
32567;2023-09-30;Ladder;CM1044;8;89;712;1015;Zenith Constructions LLC